category,material_cost,size,region,price
Jewellery,209.2,large,Gujarat,1530
Jewellery,1255.5,small,Delhi,4250
Pottery,62.8,small,Tamil Nadu,220
Jewellery,790.2,small,West Bengal,2740
Accessories,571.6,small,Delhi,1400
Painting,149.7,medium,Bihar,1070
Painting,540.9,small,Madhya Pradesh,2420
Wood Craft,458.9,large,Jammu and Kashmir,3180
Painting,520.3,large,Bihar,4380
Pottery,329.4,small,Delhi,1100
Jewellery,1177.7,small,Gujarat,3660
Jewellery,928.4,large,Odisha,7060
Textiles,296.9,medium,Uttar Pradesh,1250
Jewellery,494.5,small,Odisha,1890
Accessories,239.3,medium,Rajasthan,850
Painting,235.8,medium,Madhya Pradesh,1590
Jewellery,674.9,medium,Odisha,2930
Wood Craft,619.8,large,Kerala,3730
Textiles,629.1,small,Rajasthan,1850
Jewellery,625.7,small,West Bengal,2100
Metal Craft,1228.9,large,Chhattisgarh,8950
Accessories,210.1,large,Uttar Pradesh,1120
Metal Craft,542.6,small,Uttar Pradesh,1800
Pottery,334.7,medium,Tamil Nadu,1600
Textiles,499.0,small,Assam,1580
Wood Craft,495.7,small,Karnataka,1430
Accessories,534.1,small,Rajasthan,1180
Jewellery,711.2,small,Delhi,2700
Textiles,773.4,large,Gujarat,4420
Textiles,1031.8,large,Gujarat,6210
Metal Craft,2091.0,large,Uttar Pradesh,12680
Textiles,201.5,small,Assam,530
Wood Craft,372.1,small,Karnataka,1030
Pottery,210.0,medium,Delhi,910
Textiles,834.4,large,Assam,4980
Textiles,230.6,large,West Bengal,1200
Metal Craft,1114.0,large,Chhattisgarh,7690
Metal Craft,1597.2,small,Odisha,3960
Wood Craft,643.9,medium,Uttar Pradesh,2440
Metal Craft,1744.8,large,Chhattisgarh,10500
Wood Craft,1104.9,small,Uttar Pradesh,2700
Metal Craft,1919.5,small,West Bengal,4360
Metal Craft,740.6,medium,Uttar Pradesh,3360
Wood Craft,897.6,medium,Uttar Pradesh,3150
Textiles,1070.0,large,Assam,5490
Metal Craft,1180.3,large,Odisha,6530
Wood Craft,205.3,small,Karnataka,580
Pottery,359.6,large,Rajasthan,2850
Pottery,246.8,medium,Tamil Nadu,1230
Jewellery,1019.7,small,Gujarat,3470
Jewellery,925.0,medium,Gujarat,5450
Wood Craft,1298.2,small,Karnataka,3550
Wood Craft,425.6,medium,Karnataka,1810
Accessories,375.9,medium,Rajasthan,1440
Wood Craft,466.3,large,Karnataka,3360
Pottery,289.8,small,West Bengal,950
Textiles,828.9,small,Uttar Pradesh,2160
Pottery,62.3,medium,West Bengal,310
Painting,671.5,large,Maharashtra,5350
Wood Craft,121.5,small,Uttar Pradesh,420
Accessories,271.5,large,Gujarat,1560
Accessories,633.3,small,Uttar Pradesh,1420
Textiles,780.3,medium,Assam,2990
Textiles,1028.7,small,Gujarat,3080
Accessories,156.2,medium,Rajasthan,560
Metal Craft,1734.1,large,Odisha,9770
Accessories,470.8,medium,Rajasthan,1890
Metal Craft,896.9,small,Odisha,2320
Textiles,522.5,medium,Rajasthan,2200
Metal Craft,1507.1,large,Uttar Pradesh,11750
Pottery,337.0,medium,Rajasthan,1760
Wood Craft,627.1,large,Rajasthan,3960
Wood Craft,247.6,large,Uttar Pradesh,1540
Accessories,373.1,large,Gujarat,1990
Pottery,362.1,medium,Tamil Nadu,1770
Painting,465.6,large,Madhya Pradesh,4000
Jewellery,456.2,small,Odisha,1670
Textiles,730.9,medium,West Bengal,2640
Pottery,136.4,small,Delhi,500
Metal Craft,1068.0,small,Kerala,2800
Accessories,491.6,large,Rajasthan,2480
Pottery,316.4,small,West Bengal,940
Textiles,281.5,small,Gujarat,770
Metal Craft,1016.7,large,Kerala,5460
Jewellery,574.5,medium,Odisha,2380
Accessories,512.0,small,Delhi,1020
Accessories,624.8,large,Delhi,2970
Metal Craft,496.7,medium,Kerala,2490
Wood Craft,487.6,medium,Jammu and Kashmir,2170
Wood Craft,640.6,small,Kerala,1670
Accessories,198.3,large,Uttar Pradesh,1160
Painting,413.1,large,Maharashtra,3630
Painting,319.4,large,Bihar,2850
Jewellery,346.7,medium,West Bengal,1730
Metal Craft,1019.2,small,West Bengal,2710
Pottery,329.9,large,Delhi,2290
Painting,302.9,medium,Madhya Pradesh,1860
Textiles,608.7,medium,West Bengal,2030
Metal Craft,871.8,large,West Bengal,6280
Wood Craft,745.6,medium,Jammu and Kashmir,2700
Pottery,59.4,medium,Rajasthan,380
Painting,235.1,medium,Maharashtra,1630
Metal Craft,764.8,medium,Uttar Pradesh,3140
Pottery,380.0,medium,Rajasthan,2010
Accessories,624.4,small,Rajasthan,1760
Textiles,369.0,medium,Rajasthan,1450
Textiles,586.4,medium,Uttar Pradesh,1880
Pottery,302.2,small,West Bengal,880
Pottery,355.1,large,Delhi,2720
Jewellery,1173.0,small,Rajasthan,4320
Painting,733.2,large,Bihar,7950
Wood Craft,619.8,medium,Karnataka,2430
Painting,79.9,medium,Madhya Pradesh,460
Accessories,325.8,small,Delhi,700
Wood Craft,1258.9,medium,Jammu and Kashmir,5040
Metal Craft,1777.6,large,Uttar Pradesh,10490
Textiles,937.5,small,Uttar Pradesh,2700
Wood Craft,905.1,medium,Karnataka,3740
Painting,211.8,small,Maharashtra,950
Jewellery,1239.3,large,Rajasthan,10880
Textiles,222.2,large,West Bengal,1330
Jewellery,1013.9,medium,Rajasthan,3890
Textiles,528.2,small,Uttar Pradesh,1400
Painting,401.9,large,Rajasthan,3970
Jewellery,668.0,medium,Gujarat,2920
Jewellery,778.1,large,Odisha,5230
Jewellery,708.8,large,Delhi,6540
Pottery,321.4,medium,Rajasthan,1540
Painting,81.0,large,Odisha,890
Jewellery,1325.1,large,West Bengal,8740
Pottery,230.9,medium,Delhi,1130
Accessories,336.6,small,Delhi,830
Wood Craft,859.0,small,Uttar Pradesh,2100
Textiles,253.7,medium,Assam,950
Wood Craft,378.6,large,Kerala,2160
Metal Craft,815.0,large,Chhattisgarh,5610
Jewellery,193.0,small,Odisha,670
Wood Craft,199.3,small,Kerala,560
Wood Craft,669.2,small,Uttar Pradesh,1750
Pottery,270.6,medium,Tamil Nadu,1540
Textiles,548.1,large,Gujarat,3640
Pottery,50.9,medium,Tamil Nadu,270
Wood Craft,1206.2,medium,Karnataka,4610
Painting,460.4,medium,Madhya Pradesh,2490
Pottery,341.3,large,West Bengal,2890
Jewellery,1180.2,large,Delhi,11290
Accessories,453.4,medium,Rajasthan,1790
Metal Craft,1944.7,small,Kerala,5440
